Aging cycle,SOH(%),SOC(%),R_int(%),Frequency(Hz),Zmod(Ohm),Zphz(deg),Zreal(Ohm),Zimg(Ohm),OCV(V)
0,100.0,50,0.0,5039.06298828125,0.01299699954688549,15.271730422973633,0.012538042850792408,0.0034233720507472754,3.7407407760620117
0,100.0,50,0.0,4001.52392578125,0.012799199670553207,11.222740173339844,0.012554453685879707,0.0024910271167755127,3.7407407760620117
0,100.0,50,0.0,3164.06298828125,0.01271750032901764,7.601998805999756,0.012605724856257439,0.0016824104823172092,3.7407407760620117
0,100.0,50,0.0,2507.26708984375,0.012747400440275669,4.593943119049072,0.012706447392702103,0.0010209846077486873,3.7407407760620117
0,100.0,50,0.0,1979.1669921875,0.012858199886977673,2.0486769676208496,0.012849980965256691,0.0004596618819050491,3.7407407760620117
0,100.0,50,0.0,1598.010986328125,0.013008699752390385,0.15429480373859406,0.01300865225493908,3.503176776575856e-05,3.7407407760620117
0,100.0,50,0.0,1257.6219482421875,0.013226499781012535,-1.5677410364151,0.01322154887020588,-0.0003618615446612239,3.7407407760620117
0,100.0,50,0.0,1004.4639892578125,0.013463599607348442,-2.847712993621826,0.013446973636746407,-0.0006688919384032488,3.7407407760620117
0,100.0,50,0.0,800.3048706054688,0.013733499683439732,-3.813378095626831,0.01370309293270111,-0.000913372146897018,3.7407407760620117
0,100.0,50,0.0,631.0095825195312,0.01403649989515543,-4.533751010894775,0.013992578722536564,-0.0011095338268205523,3.7407407760620117
0,100.0,50,0.0,498.6701965332031,0.014340000227093697,-5.039226055145264,0.014284573495388031,-0.0012595931766554713,3.7407407760620117
0,100.0,50,0.0,397.24578857421875,0.01464150007814169,-5.2800188064575195,0.014579374343156815,-0.001347359619103372,3.7407407760620117
0,100.0,50,0.0,319.602294921875,0.014925699681043625,-5.338926792144775,0.014860947616398335,-0.0013887925306335092,3.7407407760620117
0,100.0,50,0.0,251.11610412597656,0.015210900455713272,-5.198369979858398,0.015148337930440903,-0.0013781721936538815,3.7407407760620117
0,100.0,50,0.0,200.8928985595703,0.015488100238144398,-5.012150764465332,0.015428876504302025,-0.0013531489530578256,3.7407407760620117
0,100.0,50,0.0,158.00559997558594,0.01574149914085865,-4.671230792999268,0.015689212828874588,-0.0012819572584703565,3.7407407760620117
0,100.0,50,0.0,125.55799865722656,0.015948699787259102,-4.267650127410889,0.01590447872877121,-0.0011868334840983152,3.7407407760620117
0,100.0,50,0.0,99.73400115966797,0.016138199716806412,-3.8797919750213623,0.016101215034723282,-0.0010919655906036496,3.7407407760620117
0,100.0,50,0.0,79.44915008544922,0.016292499378323555,-3.480633020401001,0.016262445598840714,-0.0009891364024952054,3.7407407760620117
0,100.0,50,0.0,63.34458923339844,0.016417700797319412,-3.088412046432495,0.016393855214118958,-0.0008845341508276761,3.7407407760620117
0,100.0,50,0.0,49.86701965332031,0.016534199938178062,-2.7186880111694336,0.016515590250492096,-0.0007842543418519199,3.7407407760620117
0,100.0,50,0.0,39.724578857421875,0.016615699976682663,-2.397705078125,0.01660115271806717,-0.0006951283430680633,3.7407407760620117
0,100.0,50,0.0,31.88775062561035,0.01668649911880493,-2.1277201175689697,0.01667499542236328,-0.0006195227615535259,3.7407407760620117
0,100.0,50,0.0,24.933509826660156,0.016757499426603317,-1.8665729761123657,0.01674860715866089,-0.000545826624147594,3.7407407760620117
0,100.0,50,0.0,19.946809768676758,0.016804000362753868,-1.683568000793457,0.016796747222542763,-0.0004936943878419697,3.7407407760620117
0,100.0,50,0.0,15.943880081176758,0.016849199309945107,-1.5339009761810303,0.01684316247701645,-0.0004510265134740621,3.7407407760620117
0,100.0,50,0.0,12.400790214538574,0.016889600083231926,-1.3860340118408203,0.016884658485651016,-0.0004085340478923172,3.7407407760620117
0,100.0,50,0.0,9.910149574279785,0.016919799149036407,-1.3072140216827393,0.016915395855903625,-0.0003859949065372348,3.7407407760620117
0,100.0,50,0.0,7.9719390869140625,0.01695309951901436,-1.2671409845352173,0.01694895327091217,-0.00037490049726329744,3.7407407760620117
0,100.0,50,0.0,6.351625919342041,0.016982799395918846,-1.225322961807251,0.0169789157807827,-0.000363165105227381,3.7407407760620117
0,100.0,50,0.0,4.9708380699157715,0.017013899981975555,-1.2319869995117188,0.01700996607542038,-0.00036580857704393566,3.7407407760620117
0,100.0,50,0.0,3.9423890113830566,0.01703990064561367,-1.3210289478302002,0.01703537255525589,-0.00039284233935177326,3.7407407760620117
